+ 0.2 0 1 tcp 40 ------- 0 0.0 1.0 0 0
- 0.2 0 1 tcp 40 ------- 0 0.0 1.0 0 0
r 0.205267 0 1 tcp 40 ------- 0 0.0 1.0 0 0
+ 0.205267 1 0 ack 40 ------- 0 1.0 0.0 0 1
- 0.205267 1 0 ack 40 ------- 0 1.0 0.0 0 1
r 0.210533 1 0 ack 40 ------- 0 1.0 0.0 0 1
+ 0.210533 0 1 tcp 1040 ------- 0 0.0 1.0 1 2
- 0.210533 0 1 tcp 1040 ------- 0 0.0 1.0 1 2
+ 0.210533 0 1 tcp 1040 ------- 0 0.0 1.0 2 3
- 0.217467 0 1 tcp 1040 ------- 0 0.0 1.0 2 3
r 0.222467 0 1 tcp 1040 ------- 0 0.0 1.0 1 2
+ 0.222467 1 0 ack 40 ------- 0 1.0 0.0 1 4
- 0.222467 1 0 ack 40 ------- 0 1.0 0.0 1 4
r 0.227733 1 0 ack 40 ------- 0 1.0 0.0 1 4
+ 0.227733 0 1 tcp 1040 ------- 0 0.0 1.0 3 5
- 0.227733 0 1 tcp 1040 ------- 0 0.0 1.0 3 5
+ 0.227733 0 1 tcp 1040 ------- 0 0.0 1.0 4 6
r 0.2294 0 1 tcp 1040 ------- 0 0.0 1.0 2 3
+ 0.2294 1 0 ack 40 ------- 0 1.0 0.0 2 7
- 0.2294 1 0 ack 40 ------- 0 1.0 0.0 2 7
- 0.234667 0 1 tcp 1040 ------- 0 0.0 1.0 4 6
r 0.234667 1 0 ack 40 ------- 0 1.0 0.0 2 7
+ 0.234667 0 1 tcp 1040 ------- 0 0.0 1.0 5 8
+ 0.234667 0 1 tcp 1040 ------- 0 0.0 1.0 6 9
r 0.239667 0 1 tcp 1040 ------- 0 0.0 1.0 3 5
+ 0.239667 1 0 ack 40 ------- 0 1.0 0.0 3 10
- 0.239667 1 0 ack 40 ------- 0 1.0 0.0 3 10
- 0.2416 0 1 tcp 1040 ------- 0 0.0 1.0 5 8
r 0.244933 1 0 ack 40 ------- 0 1.0 0.0 3 10
+ 0.244933 0 1 tcp 1040 ------- 0 0.0 1.0 7 11
+ 0.244933 0 1 tcp 1040 ------- 0 0.0 1.0 8 12
r 0.2466 0 1 tcp 1040 ------- 0 0.0 1.0 4 6
+ 0.2466 1 0 ack 40 ------- 0 1.0 0.0 4 13
- 0.2466 1 0 ack 40 ------- 0 1.0 0.0 4 13
- 0.248533 0 1 tcp 1040 ------- 0 0.0 1.0 6 9
r 0.251867 1 0 ack 40 ------- 0 1.0 0.0 4 13
+ 0.251867 0 1 tcp 1040 ------- 0 0.0 1.0 9 14
+ 0.251867 0 1 tcp 1040 ------- 0 0.0 1.0 10 15
r 0.253533 0 1 tcp 1040 ------- 0 0.0 1.0 5 8
+ 0.253533 1 0 ack 40 ------- 0 1.0 0.0 5 16
- 0.253533 1 0 ack 40 ------- 0 1.0 0.0 5 16
- 0.255467 0 1 tcp 1040 ------- 0 0.0 1.0 7 11
r 0.2588 1 0 ack 40 ------- 0 1.0 0.0 5 16
+ 0.2588 0 1 tcp 1040 ------- 0 0.0 1.0 11 17
+ 0.2588 0 1 tcp 1040 ------- 0 0.0 1.0 12 18
r 0.260467 0 1 tcp 1040 ------- 0 0.0 1.0 6 9
+ 0.260467 1 0 ack 40 ------- 0 1.0 0.0 6 19
- 0.260467 1 0 ack 40 ------- 0 1.0 0.0 6 19
